Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 0,0.1111111111111111,0.046875,0.06593406593406594,64.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 1,0.3748621830209482,0.5151515151515151,0.4339502233567326,660.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 2,0.48850045998160074,0.8578352180936996,0.6225087924970691,619.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 3,0.5209302325581395,0.5714285714285714,0.5450121654501217,392.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 4,0.9661538461538461,0.9736434108527132,0.9698841698841699,645.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 5,0.8597842835130971,0.8597842835130971,0.8597842835130971,649.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 6,0.6785714285714286,0.4634146341463415,0.5507246376811594,246.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 7,0.5975609756097561,0.5,0.5444444444444444,196.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 8,0.452991452991453,0.424,0.4380165289256198,125.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 9,0.6596736596736597,0.8397626112759644,0.7389033942558747,337.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
